match_id,date,season,manager_id,manager,manager_source,opponent,data_version,shot_fidelity,xy_fidelity,minutes,position_intervals,merged_intervals
68353,2004-10-16,2004/2005,4953,Frank Rijkaard,match,Espanyol,1.1.0,2,2,8.6833,2,1
68313,2004-10-24,2004/2005,4953,Frank Rijkaard,match,Osasuna,1.1.0,2,2,17.55,1,1
68314,2004-12-04,2004/2005,4953,Frank Rijkaard,match,Málaga,1.1.0,2,2,8.1333,2,1
68315,2004-12-21,2004/2005,4953,Frank Rijkaard,match,Levante UD,1.1.0,2,2,32.2667,2,1
68352,2005-04-17,2004/2005,4953,Frank Rijkaard,match,Getafe,1.1.0,2,2,4.1667,1,1
68316,2005-05-01,2004/2005,4953,Frank Rijkaard,match,Albacete,1.1.0,2,2,2.5167,1,1
68317,2005-10-01,2005/2006,4953,Frank Rijkaard,match,Real Zaragoza,1.1.0,2,2,23.6833,2,1
68318,2005-10-22,2005/2006,4953,Frank Rijkaard,match,Osasuna,1.1.0,2,2,90.0,1,1
69164,2005-10-26,2005/2006,4953,Frank Rijkaard,match,Málaga,1.1.0,2,2,28.4167,1,1
68339,2005-11-06,2005/2006,4953,Frank Rijkaard,match,Getafe,1.1.0,2,2,21.5,1,1
68319,2005-11-19,2005/2006,4953,Frank Rijkaard,match,Real Madrid,1.1.0,2,2,69.55,1,1
68354,2005-11-27,2005/2006,4953,Frank Rijkaard,match,Racing Santander,1.1.0,2,2,66.6833,1,1
68320,2005-12-04,2005/2006,4953,Frank Rijkaard,match,Villarreal,1.1.0,2,2,79.95,1,1
68321,2005-12-11,2005/2006,4953,Frank Rijkaard,match,Sevilla,1.1.0,2,2,62.3833,1,1
68322,2005-12-17,2005/2006,4953,Frank Rijkaard,match,Cádiz,1.1.0,2,2,81.85,3,1
68323,2005-12-20,2005/2006,4953,Frank Rijkaard,match,Celta Vigo,1.1.0,2,2,66.3333,1,1
68348,2006-01-07,2005/2006,4953,Frank Rijkaard,match,Espanyol,1.1.0,2,2,77.7667,1,1
